"Timestamp","Clinton","Trump","DuPont","Dow","DuPont Pioneer","Monsanto","Syngenta"
2015-07-01,11186,81749,1991,571,92,2731,393
2015-07-02,10513,83055,1940,594,95,2777,348
2015-07-03,9345,55174,1941,470,77,2379,367
2015-07-04,8551,43373,1997,382,62,2150,234
2015-07-05,9853,41914,2334,411,75,2300,243
2015-07-06,9591,38109,3276,621,113,2840,431
2015-07-07,11364,43763,2050,685,118,2937,407
2015-07-08,11829,47992,2047,691,114,2882,391
2015-07-09,10359,83148,1905,688,127,2632,362
2015-07-10,9358,58505,1844,649,74,2489,316
2015-07-11,8214,50556,1525,372,50,2338,215
2015-07-12,9332,64023,1971,489,72,2532,208
2015-07-13,10171,62811,2052,656,100,3181,393
2015-07-14,10040,62502,1964,617,94,3200,354
2015-07-15,9071,68168,3606,683,116,3137,394
2015-07-16,8968,58855,2406,698,102,2935,402
2015-07-17,8198,48968,1771,561,97,2731,374
2015-07-18,8306,66541,1589,395,52,2264,208
2015-07-19,8824,95500,1782,375,81,2612,241
2015-07-20,9100,94408,2182,663,114,2976,442
2015-07-21,9752,113867,1897,727,121,2630,446
2015-07-22,9013,129965,1851,694,118,3029,458
2015-07-23,9099,111148,1805,800,114,3119,558
2015-07-24,10582,77743,1657,645,105,3347,401
2015-07-25,9720,53793,1508,427,77,3010,220
2015-07-26,10095,56631,1820,450,56,2965,244
2015-07-27,9672,56315,1968,701,124,3640,427
2015-07-28,9349,82968,1988,736,124,3324,414
2015-07-29,9389,67952,1867,703,104,3221,395
2015-07-30,9087,60300,1796,643,112,3170,482
2015-07-31,9600,53412,1561,657,90,2604,335
2015-08-01,10066,39339,3636,436,62,2213,153
2015-08-02,9570,43672,2989,424,89,2621,217
2015-08-03,10325,36286,2526,571,96,3065,377
2015-08-04,10579,50391,2081,698,122,3648,497
2015-08-05,11341,60288,2085,674,113,3742,445
2015-08-06,12339,77358,1893,623,105,3277,406
2015-08-07,31040,234604,2036,546,117,2736,299
2015-08-08,16474,131763,1579,405,56,2514,206
2015-08-09,14299,110440,2092,459,84,2972,203
2015-08-10,13860,87315,2286,629,80,3451,338
2015-08-11,14337,100977,2077,704,130,3511,406
2015-08-12,18586,99214,2324,747,138,3410,393
2015-08-13,16710,84639,2304,790,111,3371,380
2015-08-14,15331,66222,1843,704,98,2917,349
2015-08-15,13553,69886,1649,669,71,2620,224
2015-08-16,13524,81840,2188,557,86,2848,241
2015-08-17,13472,91074,2687,919,123,3420,421
2015-08-18,14804,95607,2323,910,128,3443,407
