"who_retweet","who_post"
0,465
1,465
2,465
3,465
4,466
5,466
5,466
6,466
7,466
8,466
8,466
9,327
10,104
11,104
12,104
13,466
14,466
5,466
15,466
7,466
16,466
17,466
18,104
19,104
20,104
21,104
22,104
23,104
24,104
25,104
26,104
27,104
28,104
29,104
30,104
31,104
32,104
33,104
34,104
35,104
36,104
37,104
38,117
39,116
5,7
5,467
40,74
41,116
42,116
15,467
43,467
44,467
45,117
46,467
45,116
47,467
48,467
49,467
50,7
51,116
52,467
53,467
54,116
55,467
3,116
56,7
1,116
57,192
58,116
6,117
59,117
60,116
61,117
62,116
63,116
64,116
65,116
66,116
67,116
68,116
69,116
2,116
70,116
71,116
72,116
73,116
74,117
75,116
76,117
77,116
7,192
78,192
6,192
79,192
80,279
80,74
5,192
81,192
82,74
83,327
36,107
84,327
85,327
86,468
36,468
87,327
88,327
53,327
89,279
90,74
91,279
92,74
93,279
93,74
94,279
95,279
10,23
96,107
26,23
97,107
98,469
93,117
93,279
99,470
96,23
20,468
35,23
80,117
80,279
80,279
86,468
42,279
90,279
90,117
95,117
95,279
95,279
99,327
93,279
100,327
61,279
61,117
61,279
23,468
101,468
102,468
103,468
104,468
105,468
106,468
36,468
107,468
103,23
108,23
109,23
91,279
91,279
10,23
104,23
110,74
111,279
112,23
26,23
62,74
86,23
55,471
113,327
36,23
1,74
114,470
80,279
80,256
115,74
116,74
53,74
42,470
117,74
118,279
91,279
90,74
119,327
120,472
119,303
121,470
93,74
93,279
93,279
122,470
123,465
124,465
125,470
100,470
126,472
127,472
128,465
129,279
130,279
131,279
53,279
132,471
133,23
3,465
1,471
1,465
134,23
135,116
98,116
136,471
137,465
138,116
90,279
26,23
29,23
139,23
139,23
140,23
108,23
141,256
142,465
143,23
144,465
89,116
89,465
75,471
145,471
146,471
147,23
147,23
148,471
149,471
150,303
36,23
36,23
29,23
86,23
35,23
86,23
91,279
10,23
10,23
59,279
5,279
5,465
151,23
103,23
93,279
71,465
152,23
45,465
153,471
118,465
154,471
155,471
156,116
157,116
158,471
159,303
160,471
103,467
62,471
161,303
115,303
45,279
162,467
163,116
60,279
164,116
83,279
165,279
166,116
95,279
26,467
167,279
6,279
168,116
6,116
0,279
169,279
170,303
171,116
152,467
172,279
173,279
174,116
45,116
175,303
2,116
122,303
123,467
176,303
62,116
177,116
92,279
178,303
124,467
179,303
180,303
181,303
98,303
71,116
148,116
182,303
5,467
93,279
91,279
9,303
183,303
177,467
184,303
185,467
53,467
186,7
71,7
187,7
188,7
53,7
71,467
163,467
189,107
140,107
26,107
190,256
96,107
104,107
191,471
45,471
148,471
192,256
193,471
194,471
195,471
196,471
154,471
197,471
5,256
5,7
198,256
91,7
56,256
0,256
149,7
94,256
83,256
199,256
45,256
118,467
200,7
201,7
202,467
5,7
5,467
15,467
43,467
44,467
46,467
47,467
48,467
49,467
50,7
52,467
53,467
56,7
7,471
203,327
120,327
42,327
204,473
111,471
205,471
206,471
6,471
207,471
83,471
144,471
63,471
128,471
132,471
208,471
209,471
210,471
211,471
117,279
62,471
212,471
213,471
160,471
91,474
91,173
177,471
214,471
118,471
215,471
64,471
205,279
153,471
216,471
217,471
90,117
148,471
218,107
1,279
1,279
219,474
5,474
220,23
53,279
221,473
222,279
223,117
93,279
93,279
93,117
36,473
5,279
189,473
140,107
7,279
103,107
224,117
225,473
103,473
134,107
134,23
226,473
107,473
227,473
108,107
36,107
36,473
228,473
108,23
90,117
229,107
90,279
91,279
107,23
5,192
230,107
230,473
26,23
53,474
231,237
71,474
1,474
6,474
232,474
91,474
233,474
95,474
114,327
234,237
235,327
125,475
111,474
119,327
235,475
236,327
237,237
238,23
238,104
100,327
239,237
240,237
241,237
242,237
66,474
243,237
98,237
244,237
245,237
108,23
246,237
26,23
119,237
247,237
109,104
248,237
249,237
36,23
133,23
250,23
251,237
252,473
109,104
253,237
254,237
95,192
223,117
255,475
256,192
7,192
152,473
257,192
81,192
62,192
45,192
258,116
98,475
259,104
8,192
83,467
83,192
79,192
100,475
236,467
260,192
261,192
262,192
263,192
264,116
265,192
227,473
94,192
1,467
266,467
267,467
1,116
268,74
53,467
225,473
269,467
23,104
107,104
45,467
96,104
3,116
53,474
118,467
108,104
207,116
270,116
163,467
163,116
271,474
177,116
26,104
26,104
29,104
29,104
140,104
30,104
30,104
156,116
35,104
152,104
152,104
164,467
272,327
273,116
91,474
274,279
226,104
274,117
144,116
175,116
275,116
276,104
23,104
36,104
36,104
277,104
62,116
152,23
254,327
278,474
6,474
95,474
35,23
53,474
111,474
134,468
111,474
279,474
280,474
277,23
238,23
109,23
90,474
103,23
96,23
108,23
108,468
91,474
111,474
279,474
181,469
238,468
98,469
93,117
93,279
96,23
20,468
35,23
80,117
80,279
86,468
90,279
90,117
95,117
95,279
61,279
61,117
23,468
101,468
102,468
103,468
104,468
105,468
106,468
36,468
107,468
103,23
108,23
109,23
91,279
10,23
104,23
110,74
112,23
26,23
62,74
116,74
189,107
134,107
281,7
3,212
282,256
263,256
91,7
83,7
83,256
283,465
53,466
284,472
285,256
80,7
80,256
80,212
6,7
80,117
80,476
3,465
190,256
