"name","group","size","id","location","state"
"PallasSeeds","Retweet",0.1,1,"","Unknown"
"jrjr58","Retweet",0.1,2,"Valparaiso, IN","Indiana"
"frenchrw","Retweet",0.1,3,"TX & OK Panhandles, SW KS","Texas"
"Pioneer_IL","Retweet",0.1,4,"Illinois, USA","Illinois"
"DarrenVanness","Retweet",0.1,5,"Wausa,NE","Nebraska"
"DeanSeeds_Jeff","Retweet",0.1,6,"","Unknown"
"Mike_Eiberger","Retweet",0.1,7,"","Unknown"
"CowboyCubby","Both",46,8,"Adams, NE","Nebraska"
"DubbertRon","Retweet",0.1,9,"","Unknown"
"farmerbuck1","Retweet",0.1,10,"Goodhue, MN","Minnesota"
"jrodhans","Retweet",0.1,11,"","Unknown"
"joeuknow16","Retweet",0.1,12,"Walhalla, ND","North Dakota"
"CameronHild","Retweet",0.1,13,"Altona, MB, Canada","Manitoba"
"Horwart_P","Retweet",0.1,14,"","Unknown"
"jeffmillerttu","Retweet",0.1,15,"Lubbock, TX","Texas"
"KScholting","Retweet",0.1,16,"Corn Valley Farms","Texas"
"bill_pohlmeier","Retweet",0.1,17,"Lawrence, ne","Nebraska"
"NStensaas","Retweet",0.1,18,"","Unknown"
"kristindevloo","Retweet",0.1,19,"","Unknown"
"AAAgronomy","Retweet",0.1,20,"","Unknown"
"PayetteSeeds","Retweet",0.1,21,"Rathwell, MB","Manitoba"
"stacyjpearson","Retweet",0.1,22,"Manitoba","Unknown"
"twinvalleyseed","Retweet",0.1,23,"Andrew, Alberta ","Alberta"
"budmcknightseed","Both",65,24,"Homewood, Manitoba","Manitoba"
"danthecornguy","Retweet",0.1,25,"","Unknown"
"NBuitenhuis","Retweet",0.1,26,"Edam,  Sk","Saskatchewan"
"derekerbseeds","Retweet",0.1,27,"Oak Bluff, Manitoba","Manitoba"
"WWFCandWKfan","Retweet",0.1,28,"Brandon, Manitoba","Manitoba"
"AndreaMoffatt","Retweet",0.1,29,"Manitoba, Canada","Manitoba"
"RoncerayDan","Retweet",0.1,30,"Somerset, Mb","Manitoba"
"lindsayalberts","Retweet",0.1,31,"Yorkton","Saskatchewan"
"AnnexAgro","Retweet",0.1,32,"Milestone SK Canada","Saskatchewan"
"bgdoane","Retweet",0.1,33,"Saskatchewan, Canada","Saskatchewan"
"Campagna911","Retweet",0.1,34,"Saint Isidore de Beauce","Québec"
"cboon6","Retweet",0.1,35,"","Unknown"
"dalefossay","Retweet",0.1,36,"","Unknown"
"mcfaddenrl","Retweet",0.1,37,"","Unknown"
"georg_ridder","Retweet",0.1,38,"Gladstone, Manitoba","Manitoba"
"tmkissinger","Retweet",0.1,39,"","Unknown"
"MNSkins","Retweet",0.1,40,"","Unknown"
"cropjok","Retweet",0.1,41,"","Unknown"
"TyeKjeldgaard","Retweet",0.1,42,"","Unknown"
"Groeteke","Retweet",0.1,43,"Iowa, USA","Iowa"
"JasonBurg2","Retweet",0.1,44,"","Unknown"
"jkmcowgirl","Retweet",0.1,45,"Lincoln, NE","Nebraska"
"TheisAg","Retweet",0.1,46,"","Unknown"
"AgriMarketing","Retweet",0.1,47,"Adel, Iowa","Iowa"
"KostadinovIvan","Retweet",0.1,48,"","Unknown"
"glen_newcomer","Retweet",0.1,49,"Bryan, Ohio","Ohio"
"Story_72","Retweet",0.1,50,"Indiana, USA","Unknown"
"jromshek","Retweet",0.1,51,"","Unknown"
"AgronNateL","Retweet",0.1,52,"","Unknown"
"_farmer_boy_","Retweet",0.1,53,"Ashland, Ohio","Ohio"
"DuPontPioneer","Retweet",0.1,54,"Johnston, Iowa","Iowa"
"schultze_1","Retweet",0.1,55,"woodhull il","Illinois"
"Pioneer_IN","Retweet",0.1,56,"Indiana, USA","Indiana"
"wells_kent","Retweet",0.1,57,"","Unknown"
"kmetijstvo12","Retweet",0.1,58,"","Unknown"
"grains75","Retweet",0.1,59,"PARIS","Île-de-France"
"ksupaul","Retweet",0.1,60,"Hiawatha, KS","Kansas"
"DanSteiner79","Retweet",0.1,61,"Hartington, NE","Nebraska"
"dickeyscot","Retweet",0.1,62,"W MO","Missouri"
"WilsonSeedLLC","Retweet",0.1,63,"Bloomington, IL","Illinois"
"Anderson_BtB","Retweet",0.1,64,"Views expressed are my own","Unknown"
"Delani_Alpaci","Retweet",0.1,65,"La Motte, IA","Iowa"
"CosnerFamEnt","Retweet",0.1,66,"Ashland, IL","Illinois"
"brinker19","Retweet",0.1,67,"Iowa","Iowa"
"ehlersmt","Retweet",0.1,68,"East Central Illinois","Illinois"
"BLAllstar","Retweet",0.1,69,"","Unknown"
"agturbobrazil","Retweet",0.1,70,"Goiania Brazil","State of Goiás"
"ILcornfarmer","Retweet",0.1,71,"Virden, IL","Illinois"
"davidcosgray","Retweet",0.1,72,"","Unknown"
"adamsseedagcy","Retweet",0.1,73,"","Unknown"
"lipcaman66","Retweet",0.1,74,NA,"Unknown"
"ksuhill","Both",45,75,"Whitewater, Ks","Kansas"
"summitfarms_llc","Retweet",0.1,76,NA,"Unknown"
"BigShowFarm","Retweet",0.1,77,"Des Moines/Cedar Rapids","Iowa"
"AdvancedAgSrvcs","Retweet",0.1,78,"Mattoon, IL","Illinois"
"ChrisWoerner","Retweet",0.1,79,"Wilber, Nebraska","Nebraska"
"BruntzAg","Retweet",0.1,80,"","Unknown"
"DougPilkington","Retweet",0.1,81,"","Unknown"
"MikeHoltmeier","Retweet",0.1,82,"","Unknown"
"ZLStejskal","Retweet",0.1,83,NA,"Unknown"
"shoff95","Retweet",0.1,84,"","Unknown"
"billroyfarms","Retweet",0.1,85,"Central Huron, Ontario","Ontario"
"Adrian_Moens","Retweet",0.1,86,"Coalhurst, AB.","Alberta"
"the_scooter27","Retweet",0.1,87,"","Unknown"
"AricBos","Retweet",0.1,88,"Huron County ","Ontario"
"fullthrottle08","Retweet",0.1,89,"St George, Ontario","Ontario"
"KSDonkey","Retweet",0.1,90,"Bloomington, IL","Illinois"
"RyanSteevesKS","Retweet",0.1,91,"","Unknown"
"whiteycornking","Retweet",0.1,92,"KC Missouri","Missouri"
"CoreyFranken","Retweet",0.1,93,"Troy, KS","Kansas"
"kspioneer","Retweet",0.1,94,"","Unknown"
"spook97","Retweet",0.1,95,"Lincoln, NE","Nebraska"
"cyle_odette","Retweet",0.1,96,"Olathe, KS","Kansas"
"FarmingBe","Retweet",0.1,97,"Manitoba, Canada","Manitoba"
"redpath_cole","Retweet",0.1,98,"Killarney, Manitoba","Manitoba"
"JeromeNLensing","Retweet",0.1,99,"rochester, mn","Minnesota"
"tichyva","Retweet",0.1,100,"Stratford, WI","Wisconsin"
"CrosbyWade","Retweet",0.1,101,"Hudson, WI","Wisconsin"
"shanefalk","Retweet",0.1,102,"","Unknown"
"WallyJdubs","Retweet",0.1,103,"","Unknown"
"KulbackiSeeds","Retweet",0.1,104,"","Unknown"
"Mjweirsy","Both",47,105,"Miami, MB","Manitoba"
"201Southrailway","Retweet",0.1,106,"","Unknown"
"bergie_07","Retweet",0.1,107,"Carman, Manitoba, Canada","Manitoba"
"SloaneAgriV","Both",37,108,"","Unknown"
"BryceEger","Retweet",0.1,109,"Canada","Unknown"
"cbrownNS","Retweet",0.1,110,"Annapolis Valley","Nova Scotia"
"NYSAgBiz","Retweet",0.1,111,"","Unknown"
"Jeff56Ro","Retweet",0.1,112,"","Unknown"
"BBFChris","Retweet",0.1,113,"Letellier, MB","Manitoba"
"Mickeytee709","Retweet",0.1,114,"Newfoundland, Canada","Newfoundland and Labrador"
"SchlatterFarms","Retweet",0.1,115,"Wisconsin, USA","Unknown"
"RonGilgenbach","Retweet",0.1,116,"","Unknown"
"JustinGibbs14","Both",67,117,"Carlinville, IL","Illinois"
"clintpickard","Both",46,118,"kc","Missouri"
"_Jeppe","Retweet",0.1,119,"Bloomington, IL","Illinois"
"Sam_Tauchen","Retweet",0.1,120,"Minnesota, USA","Minnesota"
"NDgrower","Retweet",0.1,121,"Stutsman County, North Dakota","North Dakota"
"KnuckeyHannah","Retweet",0.1,122,"Platteville, WI","Wisconsin"
"billmahanna","Retweet",0.1,123,"Iowa","Iowa"
"SD_Ag_Labs","Retweet",0.1,124,"Brookings, SD","South Dakota"
"Agronomist_IN","Retweet",0.1,125,"ÃœT: 44.763535,-85.520394","Utah"
"PatrickBranick","Retweet",0.1,126,"Eau Claire, WI","Wisconsin"
"PietvanBedaf","Retweet",0.1,127,"","Unknown"
"RetzlaffDoug","Retweet",0.1,128,"Carrington, ND","North Dakota"
"CortneyBrandt","Retweet",0.1,129,"Winamac, Indiana","Indiana"
"JacksonLenocker","Retweet",0.1,130,"","Unknown"
"Ma2340002Mumtaz","Retweet",0.1,131,"Sindh, Pakistan","Sindh"
"moraskier","Retweet",0.1,132,"","Unknown"
"fieldagronomy","Retweet",0.1,133,"","Unknown"
"knuts14","Retweet",0.1,134,"Ashville,MB","Manitoba"
"John_Mcculloch","Retweet",0.1,135,"","Unknown"
"SaraALarson","Retweet",0.1,136,"#Wisconsin","Unknown"
"RyanJSchon","Retweet",0.1,137,"Ankeny, Iowa USA","Iowa"
"Bradcross15","Retweet",0.1,138,"","Unknown"
"imholtea","Both",60,139,"Madison, WI","Wisconsin"
"AprilNichol1","Retweet",0.1,140,"","Unknown"
"KeenSeeds","Retweet",0.1,141,"Manitou, Mb","Manitoba"
"kennel9","Both",38,142,"Davenport, Ne","Nebraska"
"proagservices1","Retweet",0.1,143,"","Unknown"
"BlakeBrownridge","Retweet",0.1,144,"SE Saskatchewan","Saskatchewan"
"pioneerECIN","Retweet",0.1,145,"EC IN  --  WC IL","Illinois"
"CompassAg","Retweet",0.1,146,"Franklin, IN","Indiana"
"JasonSchmidtAG","Retweet",0.1,147,"Central Illinois","Illinois"
"jrb1086","Retweet",0.1,148,"","Unknown"
"CmacColby","Retweet",0.1,149,"Bringhurst, IN","Indiana"
"EricKnippen","Retweet",0.1,150,"","Unknown"
"266neugebauer","Retweet",0.1,151,"","Unknown"
"brycerampton","Retweet",0.1,152,"Morden, MB","Manitoba"
"BloshaRod","Retweet",0.1,153,"Benito, mb","Manitoba"
"farming46392","Retweet",0.1,154,"Indiana","Indiana"
"obcagsupply","Retweet",0.1,155,"Primghar","Iowa"
"agrifoodguy","Retweet",0.1,156,"Wichita, KS","Kansas"
"GreinerCory","Retweet",0.1,157,"keota Iowa","Iowa"
"oswald_derek","Retweet",0.1,158,"Effingham, ks","Kansas"
"TheCropGuy","Retweet",0.1,159,"","Unknown"
"BetzoldSarah","Retweet",0.1,160,"Northfield, MN","Minnesota"
"leolillyliza","Retweet",0.1,161,"Berwick, IL","Illinois"
"bennettagsrvc","Retweet",0.1,162,"Plainview MN","Minnesota"
"spec_ops_mom","Retweet",0.1,163,"Corpus Christi, TX","Texas"
"PielRyan","Retweet",0.1,164,"Arcadia, IN","Indiana"
"PioneerTechILIN","Retweet",0.1,165,"Illinois and Indiana","Indiana"
"fabriciopicco","Retweet",0.1,166,"Argentina.","Unknown"
"rushriver123","Retweet",0.1,167,"","Unknown"
"BrummelsEd","Both",81,168,"","Unknown"
"GroCorn","Retweet",0.1,169,"","Unknown"
"CadenGamer13","Retweet",0.1,170,NA,"Unknown"
