"sentence","id","token","lemma","CharacterOffsetBegin","CharacterOffsetEnd","POS","NER","Speaker","UT"
11,"1","All","all",1122,1125,"DT","O","PER0","DET"
11,"2","of","of",1126,1128,"IN","O","PER0","ADP"
11,"3","your","you",1129,1133,"PRP$","O","PER0","PRON"
11,"4","Field360","field360",1134,1142,"NN","O","PER0","NOUN"
11,"5","data","datum",1143,1147,"NNS","O","PER0","NOUN"
11,"6","will","will",1148,1152,"MD","O","PER0","VERB"
11,"7","transfer","transfer",1153,1161,"VB","O","PER0","VERB"
11,"8","to","to",1162,1164,"TO","O","PER0","PRT"
11,"9","the","the",1165,1168,"DT","O","PER0","DET"
11,"10","Encirca","Encirca",1169,1176,"NNP","O","PER0","NOUN"
11,"11","platform","platform",1177,1185,"NN","O","PER0","NOUN"
11,"12",",",",",1185,1186,",","O","PER0","."
11,"13","if","if",1187,1189,"IN","O","PER0","ADP"
11,"14","you","you",1190,1193,"PRP","O","PER0","PRON"
11,"15","create","create",1194,1200,"VBP","O","PER0","VERB"
11,"16","a","a",1201,1202,"DT","O","PER0","DET"
11,"17","free","free",1203,1207,"JJ","O","PER0","ADJ"
11,"18","account","account",1208,1215,"NN","O","PER0","NOUN"
11,"19",".",".",1215,1216,".","O","PER0","."
11,"1","All","all",1122,1125,"DT","O","PER0","DET"
11,"2","of","of",1126,1128,"IN","O","PER0","ADP"
11,"3","your","you",1129,1133,"PRP$","O","PER0","PRON"
11,"4","Field360","field360",1134,1142,"NN","O","PER0","NOUN"
11,"5","data","datum",1143,1147,"NNS","O","PER0","NOUN"
11,"6","will","will",1148,1152,"MD","O","PER0","VERB"
11,"7","transfer","transfer",1153,1161,"VB","O","PER0","VERB"
11,"8","to","to",1162,1164,"TO","O","PER0","PRT"
11,"9","the","the",1165,1168,"DT","O","PER0","DET"
11,"10","Encirca","Encirca",1169,1176,"NNP","O","PER0","NOUN"
11,"11","platform","platform",1177,1185,"NN","O","PER0","NOUN"
