"sentence","id","token","lemma","CharacterOffsetBegin","CharacterOffsetEnd","POS","NER","Speaker","UT"
12,"1","Your","you",1217,1221,"PRP$","O","PER0","PRON"
12,"2","Pioneer","Pioneer",1222,1229,"NNP","O","PER0","NOUN"
12,"3","rep/agronomist","rep/agronomist",1230,1244,"NN","O","PER0","NOUN"
12,"4","will","will",1245,1249,"MD","O","PER0","VERB"
12,"5","have","have",1250,1254,"VB","O","PER0","VERB"
12,"6","to","to",1255,1257,"TO","O","PER0","PRT"
12,"7","load","load",1258,1262,"VB","O","PER0","VERB"
12,"8","your","you",1263,1267,"PRP$","O","PER0","PRON"
12,"9","grid","grid",1268,1272,"NN","O","PER0","NOUN"
12,"10","sampling","sampling",1273,1281,"NN","O","PER0","NOUN"
12,"11","data","datum",1282,1286,"NNS","O","PER0","NOUN"
12,"12","into","into",1287,1291,"IN","O","PER0","ADP"
12,"13","the","the",1292,1295,"DT","O","PER0","DET"
12,"14","Field360","field360",1296,1304,"NN","O","PER0","NOUN"
12,"15","software","software",1305,1313,"NN","O","PER0","NOUN"
12,"16","for","for",1314,1317,"IN","O","PER0","ADP"
12,"17","you","you",1318,1321,"PRP","O","PER0","PRON"
12,"18","to","to",1322,1324,"TO","O","PER0","PRT"
12,"19","view","view",1325,1329,"VB","O","PER0","VERB"
12,"20","it","it",1330,1332,"PRP","O","PER0","PRON"
12,"21","on","on",1333,1335,"IN","O","PER0","ADP"
12,"22","your","you",1336,1340,"PRP$","O","PER0","PRON"
12,"23","Field360","field360",1341,1349,"NN","O","PER0","NOUN"
12,"24","Select/Encirca","select/encirca",1350,1364,"NN","O","PER0","NOUN"
12,"25","account","account",1365,1372,"NN","O","PER0","NOUN"
12,"26",",",",",1372,1373,",","O","PER0","."
12,"27","just","just",1374,1378,"RB","O","PER0","ADV"
12,"28","like","like",1379,1383,"IN","O","PER0","ADP"
12,"29","he","he",1384,1386,"PRP","O","PER0","PRON"
12,"30","has","have",1387,1390,"VBZ","O","PER0","VERB"
12,"31","to","to",1391,1393,"TO","O","PER0","PRT"
12,"32","download","download",1394,1402,"VB","O","PER0","VERB"
12,"33","your","you",1403,1407,"PRP$","O","PER0","PRON"
12,"34","yield","yield",1408,1413,"NN","O","PER0","NOUN"
12,"35","data","datum",1414,1418,"NNS","O","PER0","NOUN"
12,"36",".",".",1418,1419,".","O","PER0","."
79,"1","The","the",8217,8220,"DT","O","PER0","DET"
79,"2","Pioneer","Pioneer",8221,8228,"NNP","O","PER0","NOUN"
79,"3","reps","rep",8229,8233,"NNS","O","PER0","NOUN"
79,"4","are","be",8234,8237,"VBP","O","PER0","VERB"
79,"5","a","a",8238,8239,"DT","O","PER0","DET"
79,"6","valued","value",8240,8246,"VBN","O","PER0","VERB"
79,"7","part","part",8247,8251,"NN","O","PER0","NOUN"
79,"8","of","of",8252,8254,"IN","O","PER0","ADP"
79,"9","the","the",8255,8258,"DT","O","PER0","DET"
79,"10","PP","pp",8259,8261,"NN","O","PER0","NOUN"
79,"11","business","business",8262,8270,"NN","O","PER0","NOUN"
79,"12","and","and",8271,8274,"CC","O","PER0","CONJ"
79,"13","the","the",8275,8278,"DT","O","PER0","DET"
79,"14","hope","hope",8279,8283,"NN","O","PER0","NOUN"
79,"15","is","be",8284,8286,"VBZ","O","PER0","VERB"
79,"16","that","that",8287,8291,"IN","O","PER0","ADP"
79,"17","as","as",8292,8294,"IN","O","PER0","ADP"
79,"18","they","they",8295,8299,"PRP","O","PER0","PRON"
79,"19","see","see",8300,8303,"VBP","O","PER0","VERB"
79,"20","how","how",8304,8307,"WRB","O","PER0","ADV"
79,"21","good","good",8308,8312,"JJ","O","PER0","ADJ"
79,"22","the","the",8313,8316,"DT","O","PER0","DET"
79,"23","competition","competition",8317,8328,"NN","O","PER0","NOUN"
79,"24","is","be",8329,8331,"VBZ","O","PER0","VERB"
79,"25","they","they",8332,8336,"PRP","O","PER0","PRON"
79,"26","may","may",8337,8340,"MD","O","PER0","VERB"
79,"27","desire","desire",8341,8347,"VB","O","PER0","VERB"
79,"28","the","the",8348,8351,"DT","O","PER0","DET"
79,"29","best","best",8352,8356,"JJS","O","PER0","ADJ"
79,"30",".",".",8356,8357,".","O","PER0","."
177,"1","jpg","jpg",18318,18321,"NN","O","PER0","NOUN"
177,"2","-LRB-","-lrb-",18322,18323,"-LRB-","O","PER0","."
177,"3","59KB","59kb",18323,18327,"NN","O","PER0","NOUN"
177,"4","-","-",18328,18329,":","O","PER0","."
177,"5","38","38",18330,18332,"CD","NUMBER","PER0","NUM"
177,"6","downloads","download",18333,18342,"NNS","O","PER0","NOUN"
177,"7","-RRB-","-rrb-",18342,18343,"-RRB-","O","PER0","."
177,"8","wheat","wheat",18344,18349,"NN","O","PER0","NOUN"
177,"9","guy","guy",18350,18353,"NN","O","PER0","NOUN"
177,"10","what","what",18356,18360,"WDT","O","PER0","DET"
177,"11","variety","variety",18361,18368,"NN","O","PER0","NOUN"
177,"12","and","and",18369,18372,"CC","O","PER0","CONJ"
177,"13","maturity","maturity",18373,18381,"NN","O","PER0","NOUN"
177,"14","are","be",18382,18385,"VBP","O","PER0","VERB"
177,"15","you","you",18386,18389,"PRP","O","PER0","PRON"
177,"16","planting","plant",18390,18398,"VBG","O","PER0","VERB"
177,"17","what","what",18402,18406,"WP","O","PER0","PRON"
177,"18","is","be",18407,18409,"VBZ","O","PER0","VERB"
177,"19","your","you",18410,18414,"PRP$","O","PER0","PRON"
177,"20","expected","expect",18415,18423,"VBN","O","PER0","VERB"
177,"21","yield","yield",18424,18429,"NN","O","PER0","NOUN"
177,"22","Im","im",18432,18434,"NN","O","PER0","NOUN"
177,"23","just","just",18435,18439,"RB","O","PER0","ADV"
177,"24","north","north",18440,18445,"RB","O","PER0","ADV"
177,"25","of","of",18446,18448,"IN","O","PER0","ADP"
177,"26","you","you",18449,18452,"PRP","O","PER0","PRON"
177,"27","and","and",18453,18456,"CC","O","PER0","CONJ"
177,"28","have","have",18457,18461,"VB","O","PER0","VERB"
177,"29","had","have",18462,18465,"VBN","O","PER0","VERB"
