"name","n"
"Ronald Fisher",36
"Karl Pearson",28
"Jerzy Neyman",17
"Udny Yule",13
"Abraham Wald",12
"Milton Friedman",11
"Alexander Alexandrovich Chuprov",10
"Arthur Lyon Bowley",10
"Dennis Lindley",10
"Harold Hotelling",10
"John Tukey",10
"Joseph Oscar Irwin",10
"Egon Pearson",9
"Prasanta Chandra Mahalanobis",9
"W. Edwards Deming",9
"George Alfred Barnard",8
"David Cox",7
"Francis Ysidro Edgeworth",7
"Gregory King",7
"Harald Cramér",7
"Samuel S. Wilks",7
"William Fleetwood Sheppard",7
"William Stanley Jevons",7
"Austin Bradford Hill",6
"Bruno de Finetti",6
"Florence Nightingale",6
"Francis Galton",6
"Genichi Taguchi",6
"John Nelder",6
"M. S. Bartlett",6
"Debabrata Basu",5
"Henry Ludwell Moore",5
"Irving Fisher",5
"Leonard Jimmie Savage",5
"Major Greenwood",5
"Richard Price",5
"Stephen Stigler",5
"Walter A. Shewhart",5
"Wesley Clair Mitchell",5
"William Beveridge",5
"William Feller",5
"Adrian Smith",4
"Allan Birnbaum",4
"Arthur Young",4
"Clive Granger",4
"David Salsburg",4
"Erich Leo Lehmann",4
"Eugene Grebenik",4
"Frank Yates",4
"George E. P. Box",4
"Harold Wilson",4
"Herman Wold",4
"John Russell, 1st Earl Russell",4
"Lancelot Hogben",4
"Leon Isserlis",4
"Maurice Kendall",4
"Oscar Kempthorne",4
"Persi Diaconis",4
"Peter Donnelly",4
"Peter Laslett",4
"R. C. Bose",4
"Sewall Wright",4
"Simon Kuznets",4
"Thomas Bayes",4
"W. Allen Wallis",4
"William Petty",4
"A. W. F. Edwards",3
"André-Michel Guerry",3
"Andrey Kolmogorov",3
"Bradley Efron",3
"Charles Sanders Peirce",3
"Charles Stein",3
"D. J. Finney",3
"E. C. Rhodes",3
"Ethel M. Elderton",3
"Filip Lundberg",3
"Florence Nightingale David",3
"Francis Anscombe",3
"Frederick Mosteller",3
"Henry Daniels",3
"Henry Petty-Fitzmaurice, 3rd Marquess of Lansdowne",3
"James Durbin",3
"John Kingman",3
"John Wishart",3
"Joseph Leo Doob",3
"M. C. Chakrabarti",3
"Peter Armitage",3
"Reginald Hawthorn Hooker",3
"Richard Doll",3
"Richard Stone",3
"Wilhelm Lexis",3
"William Farr",3
"William Gemmell Cochran",3
"William Newmarch",3
"Abraham de Moivre",2
"Adolphe Quetelet",2
"Anderson Gray McKendrick",2
"Anil Kumar Gain",2
"Arthur P. Dempster",2
"Arthur Schuster",2
"Benjamin Gompertz",2
"C. C. Li",2
"Calyampudi Radhakrishna Rao",2
"Carl Morris",2
"Charles Roy Henderson",2
"Charles Spearman",2
"Chester Ittner Bliss",2
"Christopher Bingham",2
"Claus Moser, Baron Moser",2
"Colin Clark",2
"David Blackwell",2
"David Donoho",2
"David George Kendall",2
"David Glass",2
"Donald Rubin",2
"Emil Julius Gumbel",2
"Eugen Slutsky",2
"Francis Amasa Walker",2
"Friedrich Robert Helmert",2
"Gareth Roberts",2
"George Dantzig",2
"George W. Snedecor",2
"Gunnar Kulldorff",2
"Gwilym Jenkins",2
"Harald Ludvig Westergaard",2
"Harold Jeffreys",2
"Henry Schultz",2
"Jack Kiefer",2
"Jacob Wolfowitz",2
"James Dodson",2
"James Tobin",2
"Jeff Rosenthal",2
"John Graunt",2
"Joseph M. Juran",2
"Josiah Stamp, 1st Baron Stamp",2
"Julian Peto",2
"Kaoru Ishikawa",2
"Kenneth Arrow",2
"Ladislaus Bortkiewicz",2
"Lucien Le Cam",2
"Matthew Stephens",2
"Nils Lid Hjort",2
"Norman Lloyd Johnson",2
"Pafnuty Chebyshev",2
"Peter McCullagh",2
"Peter Whittle",2
"R. G. D. Allen",2
"Raghu Raj Bahadur",2
"Richard Peto",2
"Robert F. Engle",2
"Robert Tibshirani",2
"S. N. Roy",2
"S. S. Shrikhande",2
"Sedley Cudmore",2
"Seymour Geisser",2
"Sir Frederick Eden, 2nd Baronet",2
"Thomas Spring Rice, 1st Baron Monteagle of Brandon",2
"Vladimir Vapnik",2
"Walter Bodmer",2
"Walter Frank Raphael Weldon",2
"Walter L. Smith",2
"Wassily Leontief",2
"William Hunter",2
"William Kruskal",2
"William Palin Elderton",2
"William Playfair",2
"William Sealy Gosset",2
"A. Ronald Gallant",1
"A. Ross Eckler",1
"A. Ross Eckler, Jr.",1
"A. William Flux",1
"Abraham Manie Adelstein",1
"Adrian Raftery",1
"Agner Krarup Erlang",1
"Alain Desrosières",1
"Alexander Aitken",1
"Alexander Ivanovich Chuprov",1
"Alexander Jobson",1
"Alexey Chervonenkis",1
"Alfred J. Lotka",1
"Alfred M. Best",1
"Allyn Abbott Young",1
"Anders Hald",1
"Anders Lindstedt",1
"Anders Nicolai Kiær",1
"André Krüger",1
"Ansley J. Coale",1
"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",1
"Arif Zaman",1
"Arnold Weinstock",1
"Arnold Zellner",1
"Arnoldo Frigessi",1
"Arthur Cockfield, Baron Cockfield",1
"Aryeh Dvoretzky",1
"August Friedrich Wilhelm Crome",1
"B. R. Bhat",1
"B. V. Shah",1
"Basilio de Bragança Pereira",1
"Bernard Benjamin",1
"Bernard Koopman",1
"Bernard Mallet",1
"Bernard Silverman",1
"Bill James",1
"Bill McLennan",1
"Bimal Kumar Roy",1
"Bogoljub Kočović",1
"Boris Levit",1
"Brian D. Ripley",1
"Brian Easton",1
"Brian Pink",1
"C.F. Jeff Wu",1
"Calvin Beale",1
"Carl Charlier",1
"Carl O. Nordling",1
"Carl Snyder",1
"Carlo Emilio Bonferroni",1
"Carroll D. Wright",1
"Cecil J. Nesbitt",1
"Cedric Smith",1
"Charles Booth",1
"Charles Dunnett",1
"Charles Lawrence",1
